nom_espace,topic,annotation,mots_cles
Le Commissariat,-1,Autres thèmes,Non classifié
/ 77,-1,Autres thèmes,Non classifié
Immanence,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
Lieu d'exposition en voie de déplacement (LEVD),2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
mezcla,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
BLINDSIDE,-1,Autres thèmes,Non classifié
Rogertator,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
H+,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
KINGS Artist Run,-1,Autres thèmes,Non classifié
Quellkollektiv,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Zebra3/Buy-sellf,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
Artpool,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
PLATEFORME,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
GERTRUDE CONTEMPORARY,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Nürnberger Eck,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Le générateur,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
TCB,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
Duplex100m2,-1,Autres thèmes,Non classifié
Borgo Ensemble,-1,Autres thèmes,Non classifié
West Space,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
YARAT Contemporary Art Space,-1,Autres thèmes,Non classifié
CONICAL,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
SEA Foundation,-1,Autres thèmes,Non classifié
Le Hall,-1,Autres thèmes,Non classifié
PRÉFACE,-1,Autres thèmes,Non classifié
Bell Street Project Space,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Salaisons,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Museo de Arte Abstracto Español,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
periscope,-1,Autres thèmes,Non classifié
L'impasse,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
l'Œil de Poisson,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Néon,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Autocenter,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
Association Art Today,-1,Autres thèmes,Non classifié
Open Space,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Angle art contemporain,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Triangle,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Para Site,-1,Autres thèmes,Non classifié
EDEL EXTRA,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Studio Voltaire,-1,Autres thèmes,Non classifié
White Columns,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
The Artists Village (TAV),6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
URGENT PARADISE,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
ARTos,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
LOOP,-1,Autres thèmes,Non classifié
L'espace d'en bas,-1,Autres thèmes,Non classifié
attrape-couleurs,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
LIEU-COMMUN,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
STANDARDS,-1,Autres thèmes,Non classifié
Live Club Ssam (SSamzie Space),-1,Autres thèmes,Non classifié
GRIMMUSEUM,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
G39,-1,Autres thèmes,Non classifié
Gängeviertel,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
POOL,-1,Autres thèmes,Non classifié
Transmission,-1,Autres thèmes,Non classifié
Collective,-1,Autres thèmes,Non classifié
Brain Factory,-1,Autres thèmes,Non classifié
Espace 29,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
L'H du Siège,-1,Autres thèmes,Non classifié
artellewa,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Bootlab,-1,Autres thèmes,Non classifié
Alexandria Contemporary Arts Forum (ACAF),0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
40mcube,-1,Autres thèmes,Non classifié
Diagonale,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
La Maudite,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Interface appartement /galerie,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
À Suivre...,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
CP5/Collectif Curry Vavart,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
MOCA / Museum of Conceptual Art,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
In extenso,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Gasworks,-1,Autres thèmes,Non classifié
INTERIOR and the collectors,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
L'épicerie,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
La Confection Idéale,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
Syndicat Potentiel Strasbourg (Le Faubourg),0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
One gee in fog,-1,Autres thèmes,Non classifié
Wohnmaschine,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
ChezKit,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
MAISON DE L'IMAGE,-1,Autres thèmes,Non classifié
MILLE FEUILLES,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Western Front,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
B'Chira Art Center,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
EP Galerie Jürgen Schweinebraden,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Keramikwerkstatt von Wilfriede Maaß,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
ZABRISKIE POINT,-1,Autres thèmes,Non classifié
Closet,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Treize,-1,Autres thèmes,Non classifié
Deborah Bowmann,-1,Autres thèmes,Non classifié
Park,-1,Autres thèmes,Non classifié
La GAD MARSEILLE,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
The Number Shop,-1,Autres thèmes,Non classifié
"Printed Matter, Inc.",3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
La Couleuvre,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
ECHANGEUR22,-1,Autres thèmes,Non classifié
La Mamelle/Art Com,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
Fer de Lance,-1,Autres thèmes,Non classifié
Ecart,-1,Autres thèmes,Non classifié
Zona,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
HIT,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Espace Labo,-1,Autres thèmes,Non classifié
PILOTENKUECHE,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
ruimte Caesuur,-1,Autres thèmes,Non classifié
Club solo,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
JULIO,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
VARIAe,-1,Autres thèmes,Non classifié
Takeawaygallery,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
MOSQUITO COAST FACTORY,-1,Autres thèmes,Non classifié
Flip,-1,Autres thèmes,Non classifié
TRIPODE,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Arprim,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
MARS,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
63rd - 77th STEPS,-1,Autres thèmes,Non classifié
TARS,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
CONA,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
The Lab,-1,Autres thèmes,Non classifié
Les Limbes,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Enterprise Projects,-1,Autres thèmes,Non classifié
TRIPLA,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Clovis XV,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
L'Oeil de boeuf,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
TOPO,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
SHED,-1,Autres thèmes,Non classifié
Art City,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Bruit de fond,-1,Autres thèmes,Non classifié
Ground,-1,Autres thèmes,Non classifié
*DUUU,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Dos Mares,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
El Mentidero,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Spazio In Situ,-1,Autres thèmes,Non classifié
Palette Terre,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Les Ateliers Wonder/Liebert,-1,Autres thèmes,Non classifié
Gallery 44,-1,Autres thèmes,Non classifié
CAPSULE 38,-1,Autres thèmes,Non classifié
Fructôse,-1,Autres thèmes,Non classifié
METALAB / RETICULAR,-1,Autres thèmes,Non classifié
Institute for Provocation (IFP),-1,Autres thèmes,Non classifié
W,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
221A,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
3e impérial,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
ACC/CCA,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
aceartinc.,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Action Art Actuel (AAA),-1,Autres thèmes,Non classifié
AdMare,-1,Autres thèmes,Non classifié
Atelier de l’Île,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
ARTsPLACE,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Alberta Printmakers (A/P),3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Arnica,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Artexte,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
AKA,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
articule,-1,Autres thèmes,Non classifié
Chiffonnier,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Art Metropole,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Artcite Inc.,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Super F-97,-1,Autres thèmes,Non classifié
ATELIER D’ESTAMPE IMAGO,-1,Autres thèmes,Non classifié
Atelier Presse Papier,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
ARTSPACE,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Artspeak,-1,Autres thèmes,Non classifié
Atelier Circulaire,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Atelier Silex,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
IF,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
GOSWELL ROAD,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
apes&castles,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Grande Surface,-1,Autres thèmes,Non classifié
La Civette,-1,Autres thèmes,Non classifié
Mutatio,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
ERRATUM,-1,Autres thèmes,Non classifié
3 137,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
e/lAboRaTory,-1,Autres thèmes,Non classifié
MAISON PIEUVRE,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
Paradise,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
BIKINI,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
in.plano,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Poteaux d'angle,-1,Autres thèmes,Non classifié
COHERENT,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Studio Delta,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
KABINET,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
C5,-1,Autres thèmes,Non classifié
Botschaft,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Openspace Bae,-1,Autres thèmes,Non classifié
Ladenatelier Scheib,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Ateliers Vortex,-1,Autres thèmes,Non classifié
Rotgrün (rg) Sredzkistraße 64,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
SOX,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Büro Berlin,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Galerie de LOCH,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
798 District Limited,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Giannozzo Kunstverein,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Paranorm,-1,Autres thèmes,Non classifié
Galerie Loulou Lasard,-1,Autres thèmes,Non classifié
o zwei,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
ACUD,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Künstlerhaus am Acker,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Allgirls,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Espacio O,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
DISPLAY,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
CAMPO,-1,Autres thèmes,Non classifié
Sonnenstube,-1,Autres thèmes,Non classifié
Flutgraben e.V,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
La Jetée,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
MUCHO MAS !,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
table,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
La salle de bain,-1,Autres thèmes,Non classifié
AU LIEU - éditions extensibles,-1,Autres thèmes,Non classifié
ESPAI COLONA,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Atelier von Michael Diller,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
New Media Society,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
A4 Sounds,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
A-B Projects,-1,Autres thèmes,Non classifié
Easttopics,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
XI box,-1,Autres thèmes,Non classifié
LA><ART,-1,Autres thèmes,Non classifié
6b,-1,Autres thèmes,Non classifié
Apparatus Projects,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
DAS ESSZIMMER,1,Thème 1: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Rectangle,-1,Autres thèmes,Non classifié
Sunset RS,-1,Autres thèmes,Non classifié
LE CUBE – INDEPENDENT ART ROOM,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
balak,-1,Autres thèmes,Non classifié
La Source du Lion,-1,Autres thèmes,Non classifié
current space,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Marwan,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Espacio P,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
MALA FAMA,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Rinomina,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
VIDEO DRAMA,-1,Autres thèmes,Non classifié
warenlift,-1,Autres thèmes,Non classifié
Sorbonne Artgallery,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
0gms,-1,Autres thèmes,Non classifié
Nave Oporto,-1,Autres thèmes,Non classifié
ELA projects,-1,Autres thèmes,Non classifié
Aparador Monteleón,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
AARAU,-1,Autres thèmes,Non classifié
Grommet Studio,-1,Autres thèmes,Non classifié
MEAN,-1,Autres thèmes,Non classifié
Centro Tool,-1,Autres thèmes,Non classifié
QUINCONCE,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
marcablanca,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
All Stars,8,Thème 8: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
TEC - Théorie des Espaces Courbes,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
Mercato del Sale,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Le Château,-1,Autres thèmes,Non classifié
A.Polina,-1,Autres thèmes,Non classifié
MŰTŐ,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Centro Suolo,-1,Autres thèmes,Non classifié
PINCE,-1,Autres thèmes,Non classifié
Glassbox,-1,Autres thèmes,Non classifié
monopôle,-1,Autres thèmes,Non classifié
Les 2 portes,-1,Autres thèmes,Non classifié
BOO 2,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
TILDE,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Corridor Project Space,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Roue libre,4,Thème 4: activities & experimentation & research,"activities, experimentation, research, spain, performance"
Red Cactus Art Studio,-1,Autres thèmes,Non classifié
44 Gassendi,-1,Autres thèmes,Non classifié
IN OUT,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
NICC,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Maison Jaune,-1,Autres thèmes,Non classifié
Fashion Moda,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
L’Assaut de la menuiserie,7,Thème 7: programming & charlie & pieces,"programming, charlie, pieces, cultural, apartment"
Pamela Artist-run Space,-1,Autres thèmes,Non classifié
Pauline Perplexe,-1,Autres thèmes,Non classifié
Zoo Galerie,-1,Autres thèmes,Non classifié
ARTISTS SPACE,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
Atelier White Cubi,-1,Autres thèmes,Non classifié
Patara Gallery,-1,Autres thèmes,Non classifié
The Clocktower Gallery,-1,Autres thèmes,Non classifié
ART HOUSE,-1,Autres thèmes,Non classifié
Franklin Furnace,6,Thème 6: fashion & john & events,"fashion, john, events, books, performance"
The Mothership,-1,Autres thèmes,Non classifié
The Why Not Gallery,-1,Autres thèmes,Non classifié
019,0,Thème 0: media & events & cultural,"media, events, cultural, different, workshops"
Galerie huit,5,Thème 5: centre & france & residences,"centre, france, residences, atelier, dissemination"
La Cédille qui sourit.,-1,Autres thèmes,Non classifié
Faux Mouvement,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
OCTAVE COWBELL,-1,Autres thèmes,Non classifié
PeepSpace,-1,Autres thèmes,Non classifié
Kurt-forever,-1,Autres thèmes,Non classifié
Palais des paris,2,Thème 2: activity & lyon & movement,"activity, lyon, movement, paris, nantes"
GLASSBOX-NORD,-1,Autres thèmes,Non classifié
